,user,Tweet Text,location
0,Zulfiqa79794568,RT @zafariqbal_1: I still not going to say anything against Pakistan army  but don’t you think I don’t know what happened to khan #امپورٹڈ_…,
1,Muhamma28884935,RT @KaliwalYam: You can fool some of the people some of the time but you cannot fool all of the people all of the time. We are watching and…,
2,Samie20981094,"RT @Abdullah6877685: Wake up my nation it's time to make a history
Otherwise you will be again throw over there in the feet of virtual God…",
3,GworldW,RT @fawadchaudhry: #امپورٹڈ_حکومت_نامنظور #Respect ⁦@OfficialDGISPR⁩ and now our demand  is Judicial commission https://t.co/ixHrvdu8zj,
4,FaisalM60992865,"RT @MubasherAli954: ladies and gentlemen Mr Khan insurance policy of pakistan  
 #امپورٹڈ_حکومت_نامنظور","Punjab, Pakistan"
5,Kanwalambreen07,RT @farhanabbasi06: We stand by our BRAVE &amp; HONEST leader #امپورٹڈ_حکومت_نامنظور https://t.co/uV8mfrcMqV,karachi 
6,d4CNovC801Ogx4S,"RT @EKohee: #امپورٹڈ_حکومت_نامنظور
Retweet &amp; Comment ""Ameen"" https://t.co/QSX5lOTu8t","دبي, الامارات العربية المتحدة"
7,Hey_mojjo,"RT @NumanSi64322763: Imran Khan:
""From now onwards Pakistan will only partner another country in peace. We would not become part of any oth…",", Pakistan"
8,mehfoozalii,"RT @MTauseefLatif: A new confusion. Dimag ko Aram b any do bae!!! 🤦🏻‍♂️
#سازش_نہیں_مداخلت 
#امپورٹڈ_حکومت_نامنظور https://t.co/Vpmsls7DuY",Out of league
9,SyedaBakhtawa15,"RT @adeelrana600: I request all of you to choose your words carefully in your posts regarding Pakistan's institutions.

These are our own,…",
10,Faraz_bharwana,"RT @TBajwa7: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/Omlymtylov",
11,Hknyazee,"RT @MastaniFarah: @hansbadvi #امپورٹڈ_حکومت_نامنظور
All the best
Jazba junoon of #PakistanFamily https://t.co/oO2Jeek9pN",
12,bilal_patialia,RT @PTIofficial: Chairman PTI @ImranKhanPTI at the historic Peshawar Jalsa. Thank you Peshawar! #امپورٹڈ_حکومت_نامنظور https://t.co/bRcVx8x…,
13,anum53345073,"RT @Shbazgillfan: Ye unk liye joh kehtey Hain absolutely fraud.Hope of Islamic countries and the leader of Islamic republic of Pakistan.
We…",
14,AwaisRa46233930,"RT @AliHZaidiPTI: What’s the confusion about🤷🏻‍♂️

#امپورٹڈ_حکومت_نامنظور https://t.co/1eIxe36NeC",
15,WaqasArainVicky,RT @syedsaalaar: Beautiful short clip must watch #امپورٹڈ_حکومت_نامنظور https://t.co/ApsCOHXzzw,"Karachi, Pakistan"
16,ranaadnan5,RT @ImranKhanRiaz1: Imported PM Shahbaz Sharif has announced to close all Panahgahs and Langar Khanas ... extremely shameful step by Import…,
17,hiddenraz1981,"RT @RehmanSummia: You are Prime minister of our Hearts bs aap nay ghabrana nhee hai @ImranKhanPTI
#امپورٹڈ_حکومت_نامنظور",
18,Shafqat1880,RT @PTIofficial: “The phases of the conspiracy keeps going on. When Imran Khan was the PM he didn’t hesitate from responding to the threats…,
19,Shafeeq83017532,"RT @Shbazgillfan: Wake up my nation it's time to make a history
Otherwise you will be again throw over there in the feet of virtual God 💔🙏…",
20,SadiaKa99831151,RT @fawadchaudhry: #امپورٹڈ_حکومت_نامنظور #Respect ⁦@OfficialDGISPR⁩ and now our demand  is Judicial commission https://t.co/ixHrvdu8zj,
21,AzharGhanii,"RT @JahanzaibBhat1: 3 Days of Crime Minister
#امپورٹڈ_حکومت_نامنظور https://t.co/HmJy1mdCXs",Pakistan
22,Mair_Minhas,"RT @TBajwa7: Big protest by Pakistanis in Copenhagen, Denmark against imported Government.
#امپورٹڈ_حکومت_نامنظور https://t.co/Omlymtylov","Melbourne, Victoria, Australia"
23,Sarfraz_Sukhera,"RT @Shbazgillfan: Wake up my nation it's time to make a history
Otherwise you will be again throw over there in the feet of virtual God 💔🙏…",Pakistan
24,MZubir45135433,RT @Shbazgillfan: Majority of good honest Muslims are with you IMRAN Khan we want you back may ALLAH protect you and keeps you in His Hifzo…,"Multan, Pakistan"
25,AliShahzaibISF,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…","Sheikhupura, Pakistan"
26,Alam32320632,RT @zartajgulwazir: This lousy imported puppet regime is so rattled by the massive sustained outpouring of youth that it is considering ban…,
27,ZainAbd59426827,"RT @Uman_00: In 2020 We Youth are well aware 

In 2022 We are Not Well Informed 💔

#امپورٹڈ_حکومت_نامنظور https://t.co/Yke4F6ctHK",
28,Nadzkhan10,"RT @BleedGreenKP: Heart writching pic 
#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخلت https://t.co/uVdctSJ4b0",
29,Maazjav38049421,"RT @Waji_Tweet: The national will of the people of Pakistan is to conduct elections now!
#امپورٹڈ_حکومت_نامنظور
#سازش_نہیں_مداخلت 
#سازش_نہ…","Lahore, Pakistan"
30,arsu_blouch007,"RT @PTIofficial: Any guesses on the number of people showing up at Peshawar Jalsa tonight? 

 #امپورٹڈ_حکومت_نامنظور https://t.co/xRQjyUb4jD","Lahore, Pakistan"
31,farrukhbashir75,"RT @zartajgulwazir: سلام ہے اس امت مسلمہ کے عظیم نڈر رہنما پر!

May Allah bless the great man Imran Khan for so eloquently and effectively…","Multan Cantt, Pakistan"
32,904Zohaib,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET","Lahore, Pakistan"
